timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689417610,2965,get_product_list,200,OK,login_logout 4-2,text,true,,1113193,246,28,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1883,0,0
1537689417582,3051,post_login,200,OK,login_logout 4-20,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3051,0,17
1537689417221,3413,post_login,200,OK,login_logout 4-14,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3413,0,18
1537689417583,3141,post_login,200,OK,login_logout 4-22,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3141,0,16
1537689418525,2220,get_product_list,200,OK,login_logout 4-1,text,true,,1113193,246,28,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1480,0,0
1537689417783,3092,post_login,200,OK,login_logout 4-23,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3092,0,18
1537689417584,3291,post_login,200,OK,login_logout 4-24,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3291,0,16
1537689418558,2384,get_product_list,200,OK,login_make_delete_logout 2-5,text,true,,1113193,246,10,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1967,0,0
1537689417785,3264,post_login,200,OK,login_logout 4-27,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3264,0,18
1537689417786,3342,post_login,200,OK,login_delete_logout 3-5,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3341,0,18
1537689418096,3032,post_login,200,OK,login_logout 4-25,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3031,0,20
1537689418098,3199,post_login,200,OK,login_make_delete_logout 2-8,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3199,0,18
1537689418099,3283,post_login,200,OK,login_delete_logout 3-1,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3283,0,18
1537689418229,3237,post_login,200,OK,login_make_delete_logout 2-2,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3237,0,18
1537689418229,3243,post_login,200,OK,login_logout 4-30,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3243,0,18
1537689418229,3245,post_login,200,OK,login_logout 4-29,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3245,0,18
1537689418363,3590,post_login,200,OK,login_make_logout 1-2,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3590,0,17
1537689418402,3656,post_login,200,OK,login_make_delete_logout 2-4,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3656,0,19
1537689418363,3696,post_login,200,OK,login_make_delete_logout 2-3,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3696,0,19
1537689418527,3709,post_login,200,OK,login_logout 4-12,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3708,0,26
1537689418722,3597,post_login,200,OK,login_make_logout 1-4,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3597,0,18
1537689418832,3573,post_login,200,OK,login_logout 4-28,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3573,0,18
1537689418832,3659,post_login,200,OK,login_logout 4-21,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3659,0,18
1537689418684,3809,get_product_list,200,OK,login_logout 4-19,text,true,,1113193,246,28,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,3371,0,17
1537689418832,3739,post_login,200,OK,login_make_delete_logout 2-7,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3739,0,19
1537689419127,3525,post_login,200,OK,login_make_logout 1-5,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3525,0,17
1537689419004,3649,post_login,200,OK,login_make_delete_logout 2-10,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3649,0,16
1537689419127,3705,post_login,200,OK,login_delete_logout 3-2,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3705,0,19
1537689419128,3899,post_login,200,OK,login_make_delete_logout 2-1,text,true,,463,278,10,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3899,0,19
1537689419251,3880,post_login,200,OK,login_logout 4-17,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3880,0,16
1537689419376,3755,post_product,200,OK,login_make_logout 1-3,text,true,,581,482,5,48,http://193.105.219.194:8080/api/gds-release/v1/products,3755,0,35
1537689419492,3713,delete_product,200,OK,login_logout 4-7,text,true,,300,252,28,48,http://193.105.219.194:8080/api/gds-release/v1/products/3896,3713,0,25
1537689419375,4694,post_login,200,OK,login_make_delete_logout 2-6,text,true,,463,278,10,47,http://193.105.219.194:8080/api/gds-release/v1/auth/login,4694,0,36
1537689419214,4951,get_product_list,200,OK,login_logout 4-4,text,true,,1113193,246,27,47,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,3808,0,18
1537689419608,4580,delete_product,200,OK,login_logout 4-15,text,true,,300,252,27,47,http://193.105.219.194:8080/api/gds-release/v1/products/3445,4580,0,28
1537689419494,5028,post_login,200,OK,login_logout 4-18,text,true,,463,278,26,46,http://193.105.219.194:8080/api/gds-release/v1/auth/login,5028,0,23
1537689419494,5028,post_login,200,OK,login_delete_logout 3-4,text,true,,463,278,5,46,http://193.105.219.194:8080/api/gds-release/v1/auth/login,5028,0,29
1537689419608,4915,post_product,200,OK,login_make_logout 1-1,text,true,,581,482,5,46,http://193.105.219.194:8080/api/gds-release/v1/products,4915,0,37
1537689419882,5037,delete_product,200,OK,login_logout 4-26,text,true,,300,252,26,46,http://193.105.219.194:8080/api/gds-release/v1/products/3502,5037,0,23
1537689419696,5823,post_login,200,OK,login_make_delete_logout 2-9,text,true,,463,278,10,45,http://193.105.219.194:8080/api/gds-release/v1/auth/login,5823,0,52
1537689419978,5623,logout_post,200,OK,login_delete_logout 3-3,,true,,251,250,5,45,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,5623,0,17
1537689420221,5414,delete_product,200,OK,login_logout 4-5,text,true,,300,252,25,45,http://193.105.219.194:8080/api/gds-release/v1/products/4435,5414,0,19
1537689419375,6379,get_product_list,200,OK,login_logout 4-8,text,true,,1113182,246,24,44,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,4686,0,37
1537689420598,5350,delete_product,200,OK,login_logout 4-2,text,true,,300,252,24,44,http://193.105.219.194:8080/api/gds-release/v1/products/2721,5350,0,35
1537689419608,6509,get_product_list,200,OK,login_logout 4-6,text,true,,1112920,246,23,43,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,4909,0,23
